Year,Installation,Source,PLOT,TREE,Seedlot,Replication,Metric,Management,Defect,Value
2022,HOODOO,Woods run,1,9,1333,R1,CALIPER GROWTH (MM),None,None,1.8
2022,HOODOO,Woods run,1,12,1333,R2,CALIPER GROWTH (MM),None,None,2
2022,HOODOO,Woods run,1,29,1333,R3,CALIPER GROWTH (MM),None,None,2.4
2022,HOODOO,Woods run,1,32,1333,R4,CALIPER GROWTH (MM),None,None,0.5
2022,HOODOO,Woods run,1,49,1333,R5,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,1,52,1333,R6,CALIPER GROWTH (MM),None,None,0.9
2022,HOODOO,Woods run,1,69,1333,R7,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,1,72,1333,R8,CALIPER GROWTH (MM),None,None,1.6
2022,HOODOO,Woods run,1,89,1333,R9,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,1,92,1333,R10,CALIPER GROWTH (MM),None,None,3.2
2022,HOODOO,Woods run,1,6,40089,R1,CALIPER GROWTH (MM),None,None,2.4
2022,HOODOO,Woods run,1,15,40089,R2,CALIPER GROWTH (MM),None,None,1.7
2022,HOODOO,Woods run,1,26,40089,R3,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,1,35,40089,R4,CALIPER GROWTH (MM),None,None,1.4
2022,HOODOO,Woods run,1,46,40089,R5,CALIPER GROWTH (MM),None,None,1.5
2022,HOODOO,Woods run,1,55,40089,R6,CALIPER GROWTH (MM),None,None,1.3
2022,HOODOO,Woods run,1,66,40089,R7,CALIPER GROWTH (MM),None,None,0.9
2022,HOODOO,Woods run,1,75,40089,R8,CALIPER GROWTH (MM),None,None,0.5
2022,HOODOO,Woods run,1,86,40089,R9,CALIPER GROWTH (MM),None,None,1.9
2022,HOODOO,Woods run,1,95,40089,R10,CALIPER GROWTH (MM),None,None,1.6
2022,HOODOO,Woods run,1,2,2193-16,R1,CALIPER GROWTH (MM),None,None,0.5
2022,HOODOO,Woods run,1,19,2193-16,R2,CALIPER GROWTH (MM),None,None,1.4
